order_id,order_date,date_id,customer_id,store_id,employee_id,payment_method,,order_status,total_revenue,total_cost
ORD0002861,1/1/2024,20240101,CUS00888,4,EMP0079,Credit Card,,Returned,5302,4310
ORD0006046,1/1/2024,20240101,CUS02416,1,EMP0009,InstaPay,,Completed,740,360
ORD0002658,1/1/2024,20240101,CUS02527,12,EMP0175,Cash,,Completed,1771,880
ORD0008080,1/1/2024,20240101,CUS00340,11,EMP0171,Cash,,Completed,3485,2010
ORD0009278,1/1/2024,20240101,CUS00906,6,EMP0116,Debit Card,,Completed,233,120
ORD0002226,1/1/2024,20240101,CUS00413,1,EMP0003,InstaPay,,Completed,700,420
ORD0004221,1/1/2024,20240101,CUS01601,14,EMP0200,Fawry,,Completed,1401,740
ORD0010575,1/1/2024,20240101,CUS01815,5,EMP0112,InstaPay,,Completed,81,40
ORD0007342,1/1/2024,20240101,CUS00211,6,EMP0116,InstaPay,,Completed,6100,4900
ORD0005282,1/1/2024,20240101,CUS02410,15,EMP0215,Debit Card,,Completed,1600,820
ORD0010236,1/1/2024,20240101,CUS02662,14,EMP0195,Vodafone Cash,,Completed,270,120
ORD0006390,1/1/2024,20240101,CUS02651,5,EMP0108,Debit Card,,Returned,980,530
ORD0002709,1/1/2024,20240101,CUS00542,7,EMP0136,InstaPay,,Completed,38857,32220
ORD0000761,1/2/2024,20240102,CUS01226,1,EMP0006,Cash,,Completed,1550.5,790
ORD0003933,1/2/2024,20240102,CUS01202,4,EMP0093,Cash,,Completed,153,90
ORD0009895,1/2/2024,20240102,CUS01703,3,EMP0067,Debit Card,,Returned,270,150
ORD0009548,1/2/2024,20240102,CUS00750,8,EMP0143,Vodafone Cash,,Completed,4712,2450
ORD0000288,1/2/2024,20240102,CUS00456,11,EMP0173,Credit Card,,Completed,90,40
ORD0005340,1/2/2024,20240102,CUS02563,10,EMP0152,Fawry,,Completed,190,90
ORD0004108,1/2/2024,20240102,CUS02130,2,EMP0030,Vodafone Cash,,Completed,629,360
ORD0009313,1/2/2024,20240102,CUS02353,3,EMP0070,Credit Card,,Completed,2322,1340
ORD0001844,1/2/2024,20240102,CUS02609,1,EMP0012,Cash,,Completed,749,350
ORD0010525,1/2/2024,20240102,CUS01199,6,EMP0117,InstaPay,,Completed,476,280
ORD0004372,1/2/2024,20240102,CUS00626,7,EMP0134,InstaPay,,Completed,20824,16420
ORD0006276,1/2/2024,20240102,CUS00282,3,EMP0059,Credit Card,,Completed,1000,500
ORD0010740,1/2/2024,20240102,CUS00709,12,no_employee_id,Debit Card,,Completed,320,140
ORD0005052,1/2/2024,20240102,CUS00386,2,EMP0039,Debit Card,,Completed,1863,1020
ORD0000328,1/3/2024,20240103,CUS01904,5,EMP0112,Vodafone Cash,,Completed,2220,1100
ORD0009612,1/3/2024,20240103,CUS01961,1,EMP0014,Credit Card,,Completed,616,320
ORD0000617,1/3/2024,20240103,CUS02928,6,EMP0115,InstaPay,,Completed,1159,600
ORD0000059,1/3/2024,20240103,CUS02318,1,EMP0022,Vodafone Cash,,Completed,411,210
